"FullPath","Extension","SizeBytes","SizeMB","LastWriteTime"
"C:\Users\29969\Desktop\社会实践\上报材料\附件5：2026年暑期社会实践活动立项申报汇总表.xlsx",".xlsx","13510","0.01","2026-06-06 00:23:40"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\段佳锐.pdf",".pdf","1173413","1.12","2026-06-06 00:25:44"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\方佳怡.pdf",".pdf","226422","0.22","2026-06-06 00:30:17"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\贾玲玲.pdf",".pdf","1808169","1.72","2026-06-06 00:29:55"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\廖彦.pdf",".pdf","1260734","1.2","2026-06-06 00:25:14"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\熊媛媛.pdf",".pdf","345324","0.33","2026-06-06 00:30:48"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\杨佩俊.pdf",".pdf","2858075","2.73","2026-06-06 00:29:10"
"C:\Users\29969\Desktop\社会实践\上报材料\暑期社会实践活动承诺书及知情同意书\张婉婷.pdf",".pdf","489654","0.47","2026-06-06 00:31:16"
"C:\Users\29969\Desktop\社会实践\社区新闻稿.docx",".docx","14540","0.01","2026-08-15 21:36:17"
"C:\Users\29969\Desktop\社会实践\社区宣讲材料\7.19\烽火侨心_抗战华侨力量7.19最终版.pptx",".pptx","64034635","61.07","2026-07-19 13:08:00"
"C:\Users\29969\Desktop\社会实践\社区宣讲材料\7.26\少年榜样·青年华侨先烈7.26最终版.pptx",".pptx","94146355","89.78","2026-07-26 00:50:10"
"C:\Users\29969\Desktop\社会实践\社区宣讲材料\8.3\寻访侨批记忆 厚植少年家国情怀(终版).pptx",".pptx","104594988","99.75","2026-08-03 00:10:38"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\段佳锐 志愿者注册表.doc",".doc","40960","0.04","2026-07-28 00:03:25"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\方佳怡 志愿者注册表.doc",".doc","97792","0.09","2026-07-27 23:55:46"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\贾玲玲 志愿者注册表.doc",".doc","34304","0.03","2026-07-27 23:50:18"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\廖彦 志愿者注册表.doc",".doc","157184","0.15","2026-07-27 23:41:31"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\熊媛媛 志愿者注册表.doc",".doc","155648","0.15","2026-07-28 00:15:26"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\杨佩骏 志愿者信息登记表.docx",".docx","185543","0.18","2026-07-27 23:49:27"
"C:\Users\29969\Desktop\社会实践\社区志愿报名材料\张婉婷 志愿者注册表.doc",".doc","35840","0.03","2026-07-27 23:54:52"
"C:\Users\29969\Desktop\社会实践\暑期社会实践报销材料申请指引.docx",".docx","3569271","3.4","2026-07-20 20:01:11"
"C:\Users\29969\Desktop\社会实践\投稿要求\中国大学生在线\08174c67ebb523a2559a08c8e9ec6446.png",".png","400622","0.38","2026-08-11 22:40:40"
"C:\Users\29969\Desktop\社会实践\投稿要求\中国大学生在线\2936723f1af77c60a9fe2ce8aa946c08.png",".png","306746","0.29","2026-08-11 22:28:02"
"C:\Users\29969\Desktop\社会实践\投稿要求\中国大学生在线\屏幕截图 2026-08-11 222452.png",".png","328833","0.31","2026-08-11 22:24:52"
"C:\Users\29969\Desktop\社会实践\团队logo.png",".png","661494","0.63","2026-08-14 20:24:47"
"C:\Users\29969\Desktop\社会实践\物资发票\白板发票.pdf",".pdf","145928","0.14","2026-07-18 11:59:36"
"C:\Users\29969\Desktop\社会实践\物资发票\队旗发票.jpg",".jpg","53366","0.05","2026-07-18 12:02:38"
"C:\Users\29969\Desktop\社会实践\修改过程\“以数为媒，传扬侨魂”社区策划案 详细版.docx",".docx","29198","0.03","2026-06-02 11:18:28"
"C:\Users\29969\Desktop\社会实践\修改过程\“以数为媒，传扬侨魂”社区策划案.docx",".docx","33733","0.03","2026-05-29 21:34:35"
"C:\Users\29969\Desktop\社会实践\修改过程\“以数为媒，传扬侨魂”暑期实践策划案.docx",".docx","30161","0.03","2026-05-26 08:51:31"
"C:\Users\29969\Desktop\社会实践\修改过程\”青声传薪，数扬侨魂“社区活动策划方案.docx",".docx","2235716","2.13","2026-07-03 18:52:16"
"C:\Users\29969\Desktop\社会实践\修改过程\烽火侨心_抗战华侨力量(1).pptx",".pptx","39548608","37.72","2026-07-07 23:40:18"
"C:\Users\29969\Desktop\社会实践\修改过程\烽火侨心_抗战华侨力量初版.pptx",".pptx","63097604","60.17","2026-07-09 14:25:46"
"C:\Users\29969\Desktop\社会实践\修改过程\附件3：2026年暑期社会实践活动实践地接收证明.docx",".docx","855742","0.82","2026-06-03 18:37:31"
"C:\Users\29969\Desktop\社会实践\修改过程\华侨博物馆策划案（待修改）.docx",".docx","34948","0.03","2026-05-25 00:09:19"
"C:\Users\29969\Desktop\社会实践\修改过程\华侨博物馆策划案.docx",".docx","19756","0.02","2026-05-24 00:43:44"
"C:\Users\29969\Desktop\社会实践\修改过程\社区策划案(2).docx",".docx","23260","0.02","2026-05-27 18:44:30"
"C:\Users\29969\Desktop\社会实践\修改过程\社区策划案.docx",".docx","20827","0.02","2026-05-26 23:24:41"
"C:\Users\29969\Desktop\社会实践\修改过程\以数为媒，传扬侨魂.docx",".docx","16296","0.02","2026-05-17 01:39:50"
"C:\Users\29969\Desktop\社会实践\修改过程\以数为媒，传扬侨魂——华侨革命史挖掘与数字化科普实践.docx",".docx","16607","0.02","2026-05-16 15:15:47"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025904.JPG",".jpg","9856000","9.4","2026-05-17 09:53:34"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025904.RW2",".rw2","35970048","34.3","2026-05-17 09:53:34"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025907.JPG",".jpg","10343424","9.86","2026-05-17 09:58:27"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025907.RW2",".rw2","36043264","34.37","2026-05-17 09:58:27"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025908.JPG",".jpg","9816576","9.36","2026-05-17 09:59:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025908.RW2",".rw2","35950592","34.29","2026-05-17 09:59:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025911.JPG",".jpg","8727552","8.32","2026-05-17 10:04:58"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025911.RW2",".rw2","35923968","34.26","2026-05-17 10:04:58"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025916.JPG",".jpg","8266240","7.88","2026-05-17 10:09:02"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025916.RW2",".rw2","35801600","34.14","2026-05-17 10:09:02"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025917.JPG",".jpg","8119808","7.74","2026-05-17 10:09:18"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025917.RW2",".rw2","35829248","34.17","2026-05-17 10:09:18"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025923.JPG",".jpg","9148928","8.73","2026-05-17 10:18:07"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025923.RW2",".rw2","35983360","34.32","2026-05-17 10:18:07"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025924.JPG",".jpg","9885696","9.43","2026-05-17 10:19:11"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025924.RW2",".rw2","36076032","34.4","2026-05-17 10:19:11"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025926.JPG",".jpg","8700928","8.3","2026-05-17 10:20:45"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025926.RW2",".rw2","35990528","34.32","2026-05-17 10:20:45"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025927.JPG",".jpg","11595264","11.06","2026-05-17 10:28:13"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025927.RW2",".rw2","36005888","34.34","2026-05-17 10:28:13"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025928.JPG",".jpg","11556352","11.02","2026-05-17 10:29:51"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025928.RW2",".rw2","36104192","34.43","2026-05-17 10:29:51"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025929.JPG",".jpg","9505280","9.06","2026-05-17 10:30:28"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025929.RW2",".rw2","35929088","34.26","2026-05-17 10:30:28"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025930.JPG",".jpg","9730560","9.28","2026-05-17 10:32:50"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025930.RW2",".rw2","36043776","34.37","2026-05-17 10:32:50"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025931.JPG",".jpg","8558592","8.16","2026-05-17 10:33:29"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025931.RW2",".rw2","35871232","34.21","2026-05-17 10:33:29"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025932.JPG",".jpg","9656832","9.21","2026-05-17 10:33:39"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025932.RW2",".rw2","35902464","34.24","2026-05-17 10:33:39"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025933.JPG",".jpg","9170432","8.75","2026-05-17 10:34:26"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025933.RW2",".rw2","35961856","34.3","2026-05-17 10:34:26"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025934.JPG",".jpg","10597376","10.11","2026-05-17 10:37:14"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025934.RW2",".rw2","36080640","34.41","2026-05-17 10:37:14"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025935.JPG",".jpg","7808512","7.45","2026-05-17 10:40:28"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025935.RW2",".rw2","35824640","34.17","2026-05-17 10:40:28"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025936.JPG",".jpg","7717888","7.36","2026-05-17 10:40:30"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025936.RW2",".rw2","35822080","34.16","2026-05-17 10:40:30"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025937.JPG",".jpg","7298560","6.96","2026-05-17 10:43:19"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025937.RW2",".rw2","35891200","34.23","2026-05-17 10:43:19"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025938.JPG",".jpg","9785856","9.33","2026-05-17 10:44:23"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025938.RW2",".rw2","35979264","34.31","2026-05-17 10:44:23"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025939.JPG",".jpg","8757760","8.35","2026-05-17 10:45:22"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025939.RW2",".rw2","35890176","34.23","2026-05-17 10:45:22"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025940.JPG",".jpg","9934336","9.47","2026-05-17 10:45:36"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025940.RW2",".rw2","35961344","34.3","2026-05-17 10:45:36"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025942.JPG",".jpg","7089152","6.76","2026-05-17 10:49:04"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025942.RW2",".rw2","35887616","34.23","2026-05-17 10:49:04"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025943.JPG",".jpg","10745344","10.25","2026-05-17 10:51:46"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025943.RW2",".rw2","35985920","34.32","2026-05-17 10:51:46"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025945.JPG",".jpg","7151104","6.82","2026-05-17 10:52:39"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025945.RW2",".rw2","35852800","34.19","2026-05-17 10:52:39"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025946.JPG",".jpg","13128704","12.52","2026-05-17 11:17:58"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025946.RW2",".rw2","36135936","34.46","2026-05-17 11:17:58"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025948.JPG",".jpg","12168192","11.6","2026-05-17 11:18:40"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025948.RW2",".rw2","36162560","34.49","2026-05-17 11:18:40"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025950.JPG",".jpg","8811520","8.4","2026-05-17 11:20:52"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025950.RW2",".rw2","36138496","34.46","2026-05-17 11:20:52"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025951.JPG",".jpg","12530688","11.95","2026-05-17 11:22:12"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025951.RW2",".rw2","36119552","34.45","2026-05-17 11:22:12"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025952.JPG",".jpg","7671296","7.32","2026-05-17 11:23:13"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025952.RW2",".rw2","35940352","34.28","2026-05-17 11:23:13"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025953.JPG",".jpg","8007168","7.64","2026-05-17 14:47:02"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025953.RW2",".rw2","35970048","34.3","2026-05-17 14:47:02"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025956.JPG",".jpg","11504128","10.97","2026-05-17 14:48:20"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025956.RW2",".rw2","36166144","34.49","2026-05-17 14:48:20"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025957.JPG",".jpg","10000384","9.54","2026-05-17 14:49:23"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025957.RW2",".rw2","36116992","34.44","2026-05-17 14:49:23"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025958.JPG",".jpg","10214400","9.74","2026-05-17 14:50:30"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025958.RW2",".rw2","36147712","34.47","2026-05-17 14:50:30"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025959.JPG",".jpg","7834624","7.47","2026-05-17 14:51:37"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025959.RW2",".rw2","35869696","34.21","2026-05-17 14:51:37"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025960.JPG",".jpg","7706112","7.35","2026-05-17 14:52:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025960.RW2",".rw2","35870720","34.21","2026-05-17 14:52:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025961.JPG",".jpg","10456064","9.97","2026-05-17 14:53:02"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025961.RW2",".rw2","36144128","34.47","2026-05-17 14:53:02"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025963.JPG",".jpg","8467456","8.08","2026-05-17 14:54:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025963.RW2",".rw2","35981824","34.31","2026-05-17 14:54:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025964.JPG",".jpg","11746304","11.2","2026-05-17 14:55:20"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025964.RW2",".rw2","36119040","34.45","2026-05-17 14:55:20"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025970.JPG",".jpg","8186880","7.81","2026-05-17 15:02:22"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025970.RW2",".rw2","35891200","34.23","2026-05-17 15:02:22"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025971.JPG",".jpg","12681728","12.09","2026-05-17 15:03:21"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025971.RW2",".rw2","36059648","34.39","2026-05-17 15:03:21"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025973.JPG",".jpg","9252864","8.82","2026-05-17 15:05:45"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025973.RW2",".rw2","36056576","34.39","2026-05-17 15:05:45"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025974.JPG",".jpg","7655936","7.3","2026-05-17 15:06:15"
"C:\Users\29969\Desktop\社会实践\以数为媒，传扬侨魂 调研照片\P1025974.RW2",".rw2","35997696","34.33","2026-05-17 15:06:15"
